"player_id","team_id","general_position","minutes_played","action_type","goals_added_raw","goals_added_above_avg","count_actions","Date"
"2lqRRj84qr","kRQabn8MKZ","GK",97,"Claiming",0.0132,0.0154,3,2013-03-02
"2lqRRj84qr","kRQabn8MKZ","GK",97,"Fielding",0.0044,0.0106,11,2013-03-02
"2lqRRj84qr","kRQabn8MKZ","GK",97,"Handling",0.0304,0.033,2,2013-03-02
"2lqRRj84qr","kRQabn8MKZ","GK",97,"Passing",0.0395,-0.0255,28,2013-03-02
"2lqRRj84qr","kRQabn8MKZ","GK",97,"Shotstopping",-0.331,-0.3077,3,2013-03-02
"2lqRRj84qr","kRQabn8MKZ","GK",97,"Sweeping",0,-0.0011,0,2013-03-02
"jYQJZzEQGR","lgpMOvnQzy","GK",97,"Claiming",0.0211,0.0235,3,2013-03-02
"jYQJZzEQGR","lgpMOvnQzy","GK",97,"Fielding",-2e-04,0.0059,5,2013-03-02
"jYQJZzEQGR","lgpMOvnQzy","GK",97,"Handling",-0.0021,1e-04,2,2013-03-02
"jYQJZzEQGR","lgpMOvnQzy","GK",97,"Passing",0.0514,-0.0135,25,2013-03-02
"jYQJZzEQGR","lgpMOvnQzy","GK",97,"Shotstopping",0.2584,0.2879,2,2013-03-02
"jYQJZzEQGR","lgpMOvnQzy","GK",97,"Sweeping",0.0017,7e-04,2,2013-03-02
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",97,"Claiming",0.0261,0.0284,4,2013-03-02
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",97,"Fielding",-7e-04,0.0054,15,2013-03-02
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",97,"Handling",0.0299,0.0325,4,2013-03-02
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",97,"Passing",0.0521,-0.0127,33,2013-03-02
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",97,"Shotstopping",0.3987,0.4296,5,2013-03-02
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",97,"Sweeping",0.161,0.1616,1,2013-03-02
"xW5pxy3l5g","9z5k7Yg5A3","GK",97,"Claiming",-0.1071,-0.1061,1,2013-03-02
"xW5pxy3l5g","9z5k7Yg5A3","GK",97,"Fielding",-3e-04,0.0059,13,2013-03-02
"xW5pxy3l5g","9z5k7Yg5A3","GK",97,"Handling",1e-04,0.0024,1,2013-03-02
"xW5pxy3l5g","9z5k7Yg5A3","GK",97,"Passing",0.0807,0.0162,26,2013-03-02
"xW5pxy3l5g","9z5k7Yg5A3","GK",97,"Shotstopping",-0.9605,-0.9437,4,2013-03-02
"xW5pxy3l5g","9z5k7Yg5A3","GK",97,"Sweeping",-0.0011,-0.0021,1,2013-03-02
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Claiming",0.003,0.005,2,2013-03-03
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Fielding",-2e-04,0.0059,7,2013-03-03
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Handling",-0.04,-0.0373,4,2013-03-03
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Passing",0.0684,0.0037,29,2013-03-03
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Shotstopping",0.4216,0.4434,5,2013-03-03
"4JMA2D75Kg","EKXMeX3Q64","GK",95,"Sweeping",-0.0144,-0.0153,1,2013-03-03
"9z5kGga5A3","X0Oq66zq6D","GK",96,"Claiming",8e-04,0.0029,1,2013-03-03
"9z5kGga5A3","X0Oq66zq6D","GK",96,"Fielding",1e-04,0.0062,5,2013-03-03
"9z5kGga5A3","X0Oq66zq6D","GK",96,"Handling",0.0476,0.0499,6,2013-03-03
"9z5kGga5A3","X0Oq66zq6D","GK",96,"Passing",0.0718,0.0071,31,2013-03-03
"9z5kGga5A3","X0Oq66zq6D","GK",96,"Shotstopping",-0.5597,-0.5332,10,2013-03-03
"9z5kGga5A3","X0Oq66zq6D","GK",96,"Sweeping",0.079,0.0779,3,2013-03-03
"9z5kjAjMA3","mKAqBBmqbg","GK",100,"Claiming",-0.1013,-0.1033,2,2013-03-03
"9z5kjAjMA3","mKAqBBmqbg","GK",100,"Fielding",0.0164,0.0235,9,2013-03-03
"9z5kjAjMA3","mKAqBBmqbg","GK",100,"Handling",0.0372,0.0411,3,2013-03-03
"9z5kjAjMA3","mKAqBBmqbg","GK",100,"Passing",0.0497,-0.0156,40,2013-03-03
"9z5kjAjMA3","mKAqBBmqbg","GK",100,"Shotstopping",0.773,0.8328,3,2013-03-03
"9z5kjAjMA3","mKAqBBmqbg","GK",100,"Sweeping",-0.0045,-0.0058,1,2013-03-03
"e7Mz4lGqr0","pzeQZ6xQKw","GK",100,"Claiming",0.0028,0.0051,2,2013-03-03
"e7Mz4lGqr0","pzeQZ6xQKw","GK",100,"Fielding",0.0051,0.0116,7,2013-03-03
"e7Mz4lGqr0","pzeQZ6xQKw","GK",100,"Handling",-0.0255,-0.0242,5,2013-03-03
"e7Mz4lGqr0","pzeQZ6xQKw","GK",100,"Passing",0.0518,-0.0134,24,2013-03-03
"e7Mz4lGqr0","pzeQZ6xQKw","GK",100,"Shotstopping",0.6371,0.6912,6,2013-03-03
"e7Mz4lGqr0","pzeQZ6xQKw","GK",100,"Sweeping",0.0617,0.0632,5,2013-03-03
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Claiming",-0.0074,-0.0055,2,2013-03-03
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Fielding",0.0102,0.0167,16,2013-03-03
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Handling",0.0401,0.0433,3,2013-03-03
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Passing",0.078,0.0136,39,2013-03-03
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Shotstopping",-1.1972,-1.1952,6,2013-03-03
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Sweeping",-0.2238,-0.2296,5,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Claiming",0.0102,0.013,3,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Fielding",-0.0028,0.0035,16,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Handling",-0.1066,-0.1098,3,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Passing",0.0994,0.0365,38,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Shotstopping",0.3065,0.3503,3,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Sweeping",0.0054,0.0046,4,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Claiming",0,0.0021,0,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Fielding",-1e-04,0.0061,3,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Handling",0.0059,0.0083,2,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Passing",0.0509,-0.0141,27,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Shotstopping",0.1966,0.2277,2,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Sweeping",0.0398,0.0396,3,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Claiming",0.1219,0.124,1,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Fielding",-0.0053,8e-04,23,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Handling",-0.0272,-0.025,1,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Passing",0.0251,-0.0396,38,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Shotstopping",0.0715,0.0979,1,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Sweeping",0,-0.0011,0,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Claiming",-0.0017,3e-04,2,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Fielding",0.0048,0.0108,12,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Handling",0,0.0022,0,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Passing",0.0829,0.018,26,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Shotstopping",0,0.0262,0,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Sweeping",0.0902,0.0882,1,2013-03-03
"zeQZ0az5Kw","jYQJ19EqGR","GK",101,"Claiming",0,0.0022,0,2013-03-03
"zeQZ0az5Kw","jYQJ19EqGR","GK",101,"Fielding",0.0013,0.0078,14,2013-03-03
"zeQZ0az5Kw","jYQJ19EqGR","GK",101,"Handling",-0.042,-0.0418,3,2013-03-03
