"Date","team_id","team_abbr","Dribbling_Field","Fouling_Field","Interrupting_Field","Passing_Field","Receiving_Field","Shooting_Field","Claiming_GK","Fielding_GK","Handling_GK","Passing_GK","Shotstopping_GK","Sweeping_GK","offensive_gplus","team_xgoals","opposition_team_id","opposition_team_abbr"
2013-03-02,"9z5k7Yg5A3","PHI",-0.1548,0.0751,-0.2739,0.228,0.1032,-0.0168,-0.1061,0.0059,0.0024,0.0162,-0.9437,-0.0021,0.1758,1.5339,"Z2vQ1xlqrA","SKC"
2013-03-02,"kRQabn8MKZ","TOR",-0.0952,0.0717,0.5151,-0.1481,-0.3178,-0.1625,0.0154,0.0106,0.033,-0.0255,-0.3077,-0.0011,-0.7491,0.4107,"lgpMOvnQzy","VAN"
2013-03-02,"lgpMOvnQzy","VAN",0.1658,-0.071,-0.1401,-0.1781,-0.1254,-0.0043,0.0235,0.0059,1e-04,-0.0135,0.2879,7e-04,-0.1555,1.0197,"kRQabn8MKZ","TOR"
2013-03-02,"Z2vQ1xlqrA","SKC",-0.0991,-0.0536,-0.0091,-0.255,-0.2962,-0.0942,0.0284,0.0054,0.0325,-0.0127,0.4296,0.1616,-0.7572,0.912,"9z5k7Yg5A3","PHI"
2013-03-03,"4wM42l4qjB","CHV",-0.2604,-0.05,-0.1796,0.0288,-0.4062,-0.1856,-0.0055,0.0167,0.0433,0.0136,-1.1952,-0.2296,-0.8098,1.1039,"mvzqoLZQap","CLB"
2013-03-03,"APk5LGOMOW","MTL",-0.2041,-0.0306,0.235,0.2261,0.1641,-0.0909,0.013,0.0035,-0.1098,0.0365,0.3503,0.0046,0.1317,1.2553,"jYQJ19EqGR","SEA"
2013-03-03,"EKXMeX3Q64","DCU",-0.1465,-0.2267,-0.6144,-0.394,-0.1554,-0.203,0.005,0.0059,-0.0373,0.0037,0.4434,-0.0153,-0.8952,0.4322,"YgOMngl5wN","HOU"
2013-03-03,"jYQJ19EqGR","SEA",-0.0744,0.0292,-0.1173,0.0102,-0.1555,0.002,0.0022,0.0078,-0.0418,-0.0029,-0.2984,-0.0051,-0.2206,1.0653,"APk5LGOMOW","MTL"
2013-03-03,"kaDQ0wRqEv","LAG",-0.1817,-0.0584,-0.1673,0.787,0.2699,0.201,0.124,8e-04,-0.025,-0.0396,0.0979,-0.0011,1.0366,2.501,"X0Oq66zq6D","CHI"
2013-03-03,"mKAqBBmqbg","FCD",-0.3892,0.0532,0.409,0.0961,-0.0587,-0.1049,-0.1033,0.0235,0.0411,-0.0156,0.8328,-0.0058,-0.4723,0.9616,"pzeQZ6xQKw","COL"
2013-03-03,"mvzqoLZQap","CLB",0.3119,5e-04,-0.4526,0.0219,-0.3306,-0.1175,0.0021,0.0061,0.0083,-0.0141,0.2277,0.0396,-0.1284,1.2318,"4wM42l4qjB","CHV"
2013-03-03,"pzeQZ6xQKw","COL",-0.1896,-0.0509,-0.2733,0.1936,0.1524,-0.1132,0.0051,0.0116,-0.0242,-0.0134,0.6912,0.0632,0.0298,0.8447,"mKAqBBmqbg","FCD"
2013-03-03,"X0Oq66zq6D","CHI",0.1324,-0.0153,-0.0486,-0.0716,-0.5109,-0.2736,0.0029,0.0062,0.0499,0.0071,-0.5332,0.0779,-0.7166,0.5792,"kaDQ0wRqEv","LAG"
2013-03-03,"YgOMngl5wN","HOU",0.0669,0.2037,-0.1165,-0.1756,-0.1942,0.0635,3e-04,0.0108,0.0022,0.018,0.0262,0.0882,-0.2214,2.3673,"EKXMeX3Q64","DCU"
2013-03-04,"0KPqjA456v","SJE",0.2457,0.0304,-0.2551,0.0171,-0.228,-0.078,0.019,0.0024,-0.1803,0.0197,-0.2679,0.0132,-0.0235,1.7422,"a2lqR4JMr0","RSL"
