"game_id","Date","home_team_id","away_team_id","home_score","away_score"
"eV5DNGAOQK",2021-07-09,"NWMWlBK5lz","mvzqoLZQap",2,2
"aDQ0r1VW5E",2021-07-09,"a2lqRX2Mr0","9z5k7Yg5A3",1,1
"NPqxXlVjq9",2021-07-09,"vzqoOgNqap","KAqBN0Vqbg",2,2
"OlMlaR3N5L",2021-07-08,"kaDQ0wRqEv","mKAqBBmqbg",3,1
"odMX9ey05Y",2021-07-08,"lgpMOvnQzy","a2lqR4JMr0",0,4
"2vQ1lrP0qr",2021-07-08,"gpMOLwl5zy","eVq3ya6MWO",0,2
"9Yqd8B08qv",2021-07-08,"jYQJ19EqGR","YgOMngl5wN",2,0
"a35rXNOGQL",2021-07-08,"pzeQZ6xQKw","kRQand1MKZ",2,0
"Vj58gxrmM8",2021-07-08,"X0Oq66zq6D","jYQJ8EW5GR",3,1
"9vQ28lLr5K",2021-07-07,"APk5LGOMOW","Vj58weDM8n",2,1
"KXMeYWjBM6",2021-07-07,"19vQ2095K6","kRQabn8MKZ",2,3
"gjMN3LOB5K",2021-07-05,"kaDQ0wRqEv","Z2vQ1xlqrA",0,2
"Pk5LJVGNQO",2021-07-05,"pzeQZ6xQKw","jYQJ19EqGR",1,1
"raMyY8P2Md",2021-07-05,"mKAqBBmqbg","lgpMOvnQzy",2,2
"9z5kKowg5A",2021-07-04,"a2lqR4JMr0","eVq3ya6MWO",0,1
"vzqo2VgL5a",2021-07-04,"YgOMngl5wN","NWMWlBK5lz",1,1
"7vQ7W21zQD",2021-07-04,"vzqoOgNqap","9z5k7Yg5A3",1,0
"gOMnXkWJqw",2021-07-04,"kRQand1MKZ","0KPqjA456v",2,2
"wvq9G0lYMW",2021-07-04,"X0Oq66zq6D","KAqBN0Vqbg",3,0
"EGMPWyoAQa",2021-07-03,"APk5LGOMOW","zeQZkL1MKw",1,0
"gpMOBNn1Qz",2021-07-03,"jYQJ8EW5GR","a2lqRX2Mr0",1,2
"315Vo8Lbq9",2021-07-03,"EKXMeX3Q64","kRQabn8MKZ",7,1
"0Oq6BXD2q6",2021-07-03,"mvzqoLZQap","19vQ2095K6",2,2
"2lqRGD9nQr",2021-07-02,"gpMOLwl5zy","WBLMvYAQxe",4,1
"0x5gXGaLq7",2021-06-28,"mKAqBBmqbg","19vQ2095K6",2,1
